Velocity ,Angle,,,,,,,,
,,,,,,,,,
96,111,123,134,143,151,158,164,168,172
107,122,135,146,156,164,171,177,182,186
118,134,147,159,168,177,184,189,194,198
128,144,158,170,180,188,195,201,206,210
138,155,169,181,191,200,207,213,218,221
147,165,180,192,202,210,218,223,228,232
157,175,190,202,212,221,228,234,238,242
166,184,199,212,222,230,237,243,248,252
175,193,208,221,231,240,247,253,257,261
183,202,217,230,240,249,256,261,266,269
